"","system","SamplingSize","cart_best","bagg_best","frst_best","esvr_best","cart_avg","bagg_avg","frst_avg","esvr_avg","cart_wrst","bagg_wrst","frst_wrst","esvr_wrst"
"1","Apache","N","21.86+/-7.88","22.10+/-7.56","19.80+/-6.39","31.81+/-8.42","24.70+/-8.32","23.76+/-8.44","23.35+/-8.38","33.35+/-8.72","27.52+/-8.55","25.95+/-9.33","30.33+/-11.64","34.30+/-8.87"
"2","Apache","2*N","13.21+/-4.55","10.32+/-3.17","14.84+/-5.22","21.93+/-8.38","20.00+/-7.51","14.58+/-6.16","19.99+/-7.30","23.80+/-8.84","29.01+/-10.11","19.90+/-9.76","29.65+/-10.85","25.04+/-9.18"
"3","Apache","3*N","8.72+/-2.51","7.39+/-2.34","7.88+/-2.26","19.44+/-7.58","15.22+/-8.06","10.81+/-4.19","13.21+/-4.21","22.41+/-8.31","20.62+/-11.72","17.72+/-8.61","22.74+/-8.31","24.39+/-8.80"
"4","Apache","4*N","8.02+/-2.41","6.61+/-2.16","6.71+/-2.54","19.55+/-7.05","12.86+/-7.01","8.00+/-2.74","10.72+/-3.88","22.71+/-8.06","19.18+/-13.04","11.85+/-4.89","23.47+/-8.63","24.83+/-8.73"
"5","Apache","5*N","7.33+/-1.87","6.20+/-2.26","6.38+/-2.08","17.10+/-7.08","10.00+/-3.94","7.29+/-2.58","9.40+/-3.11","20.69+/-8.61","15.51+/-9.17","9.43+/-3.32","15.66+/-6.59","23.43+/-9.59"
"6","BerkeleyC","N","135.12+/-111.59","140.38+/-144.26","179.67+/-138.09","212.37+/-136.01","268.34+/-226.03","245.16+/-181.63","265.61+/-220.85","472.22+/-336.38","575.80+/-420.78","334.66+/-261.69","381.78+/-345.62","650.45+/-476.13"
"7","BerkeleyC","2*N","30.66+/-55.00","62.60+/-62.97","40.86+/-35.92","125.82+/-69.71","117.30+/-130.59","95.36+/-116.87","140.71+/-148.32","387.36+/-253.53","169.56+/-172.12","148.69+/-153.29","233.29+/-234.62","605.68+/-403.95"
"8","BerkeleyC","3*N","10.05+/-10.10","22.12+/-32.06","22.34+/-25.66","97.60+/-44.57","109.50+/-163.05","54.43+/-102.71","95.81+/-136.94","345.84+/-231.77","143.96+/-240.89","96.53+/-187.48","235.99+/-330.63","581.10+/-381.70"
"9","BerkeleyC","4*N","6.41+/-6.96","8.06+/-6.70","11.29+/-9.29","92.90+/-43.73","67.77+/-65.07","27.26+/-40.81","47.10+/-50.57","299.46+/-195.00","110.70+/-107.30","75.05+/-142.07","140.48+/-148.78","526.02+/-333.45"
"10","BerkeleyC","5*N","2.78+/-2.88","8.09+/-8.19","7.35+/-5.32","89.40+/-46.43","47.40+/-35.47","16.87+/-22.95","35.17+/-41.68","271.11+/-174.76","94.67+/-74.11","38.97+/-71.88","107.78+/-132.23","499.85+/-312.06"
"11","BerkeleyJ","N","6.69+/-4.96","8.72+/-5.14","6.08+/-3.71","30.82+/-22.90","23.80+/-10.96","20.08+/-12.23","19.59+/-18.94","32.40+/-23.12","36.96+/-15.86","35.05+/-19.87","44.19+/-50.03","33.09+/-23.18"
"12","BerkeleyJ","2*N","2.01+/-0.96","2.41+/-1.36","1.97+/-1.21","28.90+/-21.56","6.98+/-7.10","7.19+/-7.93","6.63+/-6.01","31.93+/-22.43","20.10+/-26.81","18.66+/-25.45","24.42+/-31.46","33.43+/-22.67"
"13","BerkeleyJ","3*N","1.76+/-0.87","1.50+/-0.86","1.67+/-0.95","26.13+/-19.22","2.69+/-1.13","1.86+/-1.01","2.81+/-1.51","30.49+/-20.76","2.98+/-1.66","2.50+/-1.22","8.28+/-7.96","32.59+/-21.16"
"14","BerkeleyJ","4*N","1.50+/-0.71","1.49+/-0.71","1.50+/-0.90","24.63+/-16.48","2.64+/-0.93","1.64+/-0.81","2.20+/-1.32","30.00+/-17.66","3.00+/-1.24","2.10+/-1.04","10.11+/-12.31","32.77+/-17.98"
"15","BerkeleyJ","5*N","1.54+/-0.72","1.40+/-0.83","1.25+/-0.67","21.65+/-12.54","2.39+/-0.88","1.49+/-0.94","1.78+/-0.98","28.22+/-14.04","2.85+/-1.03","1.65+/-1.08","4.26+/-3.49","31.62+/-14.51"
"16","LLVM","N","5.08+/-1.62","4.87+/-1.78","4.74+/-1.78","4.04+/-1.87","5.72+/-1.97","5.32+/-1.93","5.11+/-2.19","5.37+/-2.52","5.96+/-2.34","6.02+/-2.06","5.98+/-2.43","6.76+/-2.89"
"17","LLVM","2*N","4.18+/-1.88","3.78+/-1.49","3.80+/-1.40","2.64+/-1.79","5.13+/-2.15","4.56+/-1.91","4.71+/-1.89","4.30+/-2.22","5.72+/-2.34","5.47+/-2.31","5.76+/-2.40","6.23+/-2.87"
"18","LLVM","3*N","3.13+/-1.05","3.26+/-1.19","2.91+/-1.13","2.47+/-1.61","4.48+/-1.50","3.83+/-1.39","3.81+/-1.64","4.06+/-2.04","5.45+/-1.91","4.59+/-1.69","5.21+/-2.17","6.32+/-2.87"
"19","LLVM","4*N","2.72+/-1.05","2.49+/-0.90","2.77+/-1.01","2.14+/-1.58","3.91+/-1.51","3.07+/-1.16","3.47+/-1.42","3.43+/-1.98","4.87+/-1.83","3.96+/-1.46","5.10+/-2.19","6.10+/-2.75"
"20","LLVM","5*N","2.37+/-1.03","2.22+/-0.94","2.31+/-0.94","2.03+/-1.48","3.48+/-1.26","2.69+/-1.29","3.04+/-1.41","3.28+/-1.85","4.23+/-1.57","3.57+/-1.85","4.62+/-2.29","6.22+/-2.71"
"21","Sqlite","N","4.53+/-1.77","4.61+/-1.84","4.46+/-1.78","4.17+/-1.86","4.73+/-2.01","4.72+/-2.01","4.65+/-2.04","4.39+/-2.32","5.50+/-2.26","5.12+/-2.17","5.42+/-2.21","5.42+/-2.59"
"22","Sqlite","2*N","4.52+/-1.64","4.22+/-1.65","4.17+/-1.61","4.30+/-1.66","4.63+/-1.86","4.35+/-1.79","4.32+/-1.81","4.45+/-2.28","5.39+/-2.10","4.88+/-1.88","4.85+/-1.95","4.68+/-2.50"
"23","Sqlite","3*N","4.28+/-1.59","4.02+/-1.62","4.11+/-1.57","4.11+/-1.59","4.38+/-1.74","4.15+/-1.72","4.26+/-1.75","4.33+/-2.23","4.98+/-2.07","4.64+/-1.82","4.84+/-1.89","4.49+/-2.47"
"24","Sqlite","4*N","3.92+/-1.60","3.83+/-1.54","3.80+/-1.56","4.01+/-1.52","4.06+/-1.76","3.95+/-1.66","3.93+/-1.67","4.35+/-2.23","4.62+/-2.03","4.40+/-1.75","4.55+/-1.76","4.50+/-2.45"
"25","Sqlite","5*N","3.83+/-1.67","3.75+/-1.57","3.65+/-1.57","3.90+/-1.54","4.02+/-1.77","3.87+/-1.64","3.79+/-1.67","4.36+/-2.32","4.42+/-2.06","4.41+/-1.69","4.38+/-1.75","4.51+/-2.48"
"26","x264","N","10.30+/-4.35","10.47+/-3.29","8.72+/-3.09","22.18+/-10.39","17.69+/-6.61","12.95+/-4.03","11.89+/-4.52","30.66+/-14.40","31.22+/-15.16","17.84+/-5.53","21.95+/-9.95","35.07+/-16.13"
"27","x264","2*N","6.55+/-2.35","5.89+/-2.57","5.79+/-2.46","15.88+/-9.93","10.56+/-3.83","7.69+/-3.42","8.28+/-3.54","29.73+/-21.64","18.62+/-8.44","9.54+/-4.28","20.31+/-9.82","36.74+/-27.47"
"28","x264","3*N","4.96+/-2.31","4.78+/-2.50","4.70+/-2.20","9.05+/-4.70","8.27+/-3.39","6.27+/-2.94","7.01+/-3.04","24.25+/-14.19","9.89+/-4.40","8.30+/-3.91","15.80+/-6.83","34.97+/-21.41"
"29","x264","4*N","3.36+/-1.74","3.82+/-1.96","4.01+/-1.92","6.79+/-3.63","7.26+/-2.76","5.21+/-2.58","5.80+/-2.63","21.68+/-13.53","9.01+/-4.15","7.03+/-3.24","10.43+/-3.78","34.56+/-23.82"
"30","x264","5*N","2.46+/-1.38","2.85+/-1.25","2.98+/-1.46","5.22+/-2.98","6.72+/-2.53","4.16+/-1.88","4.92+/-2.12","19.91+/-12.24","8.40+/-3.42","5.87+/-2.73","9.18+/-3.26","34.38+/-22.30"
